strategy;subStrategy;nFotogramas;width;height;ns;nProcs;threadsPorProceso;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;cols;5;32;256;5;1;1;0,0146279;0,0146279;;;;
cols;cols;5;32;256;10;1;1;0,0343518;0,0343518;;;;
cols;cols;5;32;512;1;1;1;0,0103436;0,0103436;;;;
cols;cols;5;32;512;2;1;1;0,0184449;0,0184449;;;;
cols;cols;5;32;512;5;1;1;0,0403694;0,0403694;;;;
cols;cols;5;32;512;10;1;1;0,053372;0,053372;;;;
cols;cols;5;32;1024;1;1;1;0,0125293;0,0125293;;;;
cols;cols;5;32;1024;2;1;1;0,0220259;0,0220259;;;;
cols;cols;5;32;1024;5;1;1;0,0581291;0,0581291;;;;
cols;cols;5;32;1024;10;1;1;0,105745;0,105745;;;;
cols;cols;5;64;32;1;1;1;0,0023708;0,0023708;;;;
cols;cols;5;64;32;2;1;1;0,0041288;0,0041288;;;;
cols;cols;5;64;32;5;1;1;0,0067637;0,0067637;;;;
cols;cols;5;64;32;10;1;1;0,007814;0,007814;;;;
cols;cols;5;64;64;1;1;1;0,0038207;0,0038207;;;;
cols;cols;5;64;64;2;1;1;0,005852;0,005852;;;;
cols;cols;5;64;64;5;1;1;0,0126152;0,0126152;;;;
cols;cols;5;64;64;10;1;1;0,0144827;0,0144827;;;;
cols;cols;5;64;256;1;1;1;0,0106479;0,0106479;;;;
cols;cols;5;64;256;2;1;1;0,0185146;0,0185146;;;;
cols;cols;5;64;256;5;1;1;0,0400035;0,0400035;;;;
cols;cols;5;64;256;10;1;1;0,0619675;0,0619675;;;;
cols;cols;5;64;512;1;1;1;0,0122148;0,0122148;;;;
cols;cols;5;64;512;2;1;1;0,0349271;0,0349271;;;;
cols;cols;5;64;512;5;1;1;0,0536281;0,0536281;;;;
cols;cols;5;64;512;10;1;1;0,113896;0,113896;;;;
cols;cols;5;64;1024;1;1;1;0,0369013;0,0369013;;;;
cols;cols;5;64;1024;2;1;1;0,054069;0,054069;;;;
cols;cols;5;64;1024;5;1;1;0,121782;0,121782;;;;
cols;cols;5;64;1024;10;1;1;0,22588;0,22588;;;;
cols;cols;5;256;32;1;1;1;0,005409;0,005409;;;;
cols;cols;5;256;32;2;1;1;0,0057334;0,0057334;;;;
cols;cols;5;256;32;5;1;1;0,0118299;0,0118299;;;;
cols;cols;5;256;32;10;1;1;0,0350963;0,0350963;;;;
cols;cols;5;256;64;1;1;1;0,0065748;0,0065748;;;;
cols;cols;5;256;64;2;1;1;0,0113159;0,0113159;;;;
cols;cols;5;256;64;5;1;1;0,0251803;0,0251803;;;;
cols;cols;5;256;64;10;1;1;0,0492974;0,0492974;;;;
cols;cols;5;256;256;1;1;1;0,0227103;0,0227103;;;;
cols;cols;5;256;256;2;1;1;0,0432057;0,0432057;;;;
cols;cols;5;256;256;5;1;1;0,106921;0,106921;;;;
cols;cols;5;256;256;10;1;1;0,218018;0,218018;;;;
cols;cols;5;256;512;1;1;1;0,0445929;0,0445929;;;;
cols;cols;5;256;512;2;1;1;0,0881563;0,0881563;;;;
cols;cols;5;256;512;5;1;1;0,232311;0,232311;;;;
cols;cols;5;256;512;10;1;1;0,437865;0,437865;;;;
cols;cols;5;256;1024;1;1;1;0,0914489;0,0914489;;;;
cols;cols;5;256;1024;2;1;1;0,17803;0,17803;;;;
cols;cols;5;256;1024;5;1;1;0,442039;0,442039;;;;
cols;cols;5;256;1024;10;1;1;0,86425;0,86425;;;;
cols;cols;5;512;32;1;1;1;0,0054188;0,0054188;;;;
cols;cols;5;512;32;2;1;1;0,0090454;0,0090454;;;;
cols;cols;5;512;32;5;1;1;0,0194228;0,0194228;;;;
cols;cols;5;512;32;10;1;1;0,0373428;0,0373428;;;;
cols;cols;5;512;64;1;1;1;0,0099395;0,0099395;;;;
cols;cols;5;512;64;2;1;1;0,0303743;0,0303743;;;;
cols;cols;5;512;64;5;1;1;0,042343;0,042343;;;;
cols;cols;5;512;64;10;1;1;0,082822;0,082822;;;;
cols;cols;5;512;256;1;1;1;0,0530711;0,0530711;;;;
cols;cols;5;512;256;2;1;1;0,0806362;0,0806362;;;;
cols;cols;5;512;256;5;1;1;0,208386;0,208386;;;;
cols;cols;5;512;256;10;1;1;0,402594;0,402594;;;;
cols;cols;5;512;512;1;1;1;0,0886624;0,0886624;;;;
cols;cols;5;512;512;2;1;1;0,172891;0,172891;;;;
cols;cols;5;512;512;5;1;1;0,452704;0,452704;;;;
cols;cols;5;512;512;10;1;1;0,878708;0,878708;;;;
cols;cols;5;512;1024;1;1;1;0,200387;0,200387;;;;
cols;cols;5;512;1024;2;1;1;0,354435;0,354435;;;;
