strategy;nFotogramas;width;height;ns;nThreads;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;1;64;32;1;2;0,0027919;0,002734;;;;
cols;1;64;32;2;2;0,0046835;0,0046304;;;;
cols;1;64;32;5;2;0,0103792;0,0102891;;;;
cols;1;64;32;10;2;0,0200187;0,0199698;;;;
cols;1;64;64;1;2;0,0057498;0,0056977;;;;
cols;1;64;64;2;2;0,0099863;0,0099368;;;;
cols;1;64;64;5;2;0,0234971;0,0234486;;;;
cols;1;64;64;10;2;0,0463012;0,046249;;;;
cols;1;64;256;1;2;0,019881;0,0198201;;;;
cols;1;64;256;2;2;0,0394182;0,0393507;;;;
cols;1;64;256;5;2;0,0951969;0,0951325;;;;
cols;1;64;256;10;2;0,19161;0,191543;;;;
cols;1;64;512;1;2;0,0397332;0,0396569;;;;
cols;1;64;512;2;2;0,0779766;0,0779007;;;;
cols;1;64;512;5;2;0,195759;0,195684;;;;
cols;1;64;512;10;2;0,389242;0,389159;;;;
cols;1;64;1024;1;2;0,078435;0,0783305;;;;
cols;1;64;1024;2;2;0,157046;0,156941;;;;
cols;1;64;1024;5;2;0,383994;0,383887;;;;
cols;1;64;1024;10;2;0,765543;0,765438;;;;
cols;1;256;32;1;2;0,0072699;0,0072061;;;;
cols;1;256;32;2;2;0,0179732;0,0179126;;;;
cols;1;256;32;5;2;0,0320894;0,0320354;;;;
cols;1;256;32;10;2;0,0622377;0,0621771;;;;
cols;1;256;64;1;2;0,0148069;0,0147436;;;;
cols;1;256;64;2;2;0,0323366;0,0322762;;;;
cols;1;256;64;5;2;0,0678697;0,0678071;;;;
cols;1;256;64;10;2;0,137056;0,136992;;;;
cols;1;256;256;1;2;0,074398;0,0742892;;;;
cols;1;256;256;2;2;0,147138;0,147019;;;;
cols;1;256;256;5;2;0,365783;0,365678;;;;
cols;1;256;256;10;2;0,723372;0,723269;;;;
cols;1;256;512;1;2;0,148761;0,148603;;;;
cols;1;256;512;2;2;0,298768;0,298609;;;;
cols;1;256;512;5;2;0,739369;0,739205;;;;
cols;1;256;512;10;2;1,4682;1,46804;;;;
cols;1;256;1024;1;2;0,309594;0,309319;;;;
cols;1;256;1024;2;2;0,611777;0,6115;;;;
cols;1;256;1024;5;2;1,52252;1,52224;;;;
cols;1;256;1024;10;2;3,0035;3,00318;;;;
cols;1;512;32;1;2;0,0125774;0,0125164;;;;
cols;1;512;32;2;2;0,0238465;0,0237836;;;;
cols;1;512;32;5;2;0,0574593;0,0573977;;;;
cols;1;512;32;10;2;0,113979;0,113914;;;;
cols;1;512;64;1;2;0,0262989;0,0262239;;;;
cols;1;512;64;2;2;0,0509185;0,0508444;;;;
cols;1;512;64;5;2;0,125732;0,125654;;;;
cols;1;512;64;10;2;0,249311;0,249234;;;;
cols;1;512;256;1;2;0,127913;0,127741;;;;
cols;1;512;256;2;2;0,247496;0,247335;;;;
cols;1;512;256;5;2;0,617855;0,617679;;;;
cols;1;512;256;10;2;1,23785;1,23766;;;;
cols;1;512;512;1;2;0,302142;0,301874;;;;
cols;1;512;512;2;2;0,577202;0,576927;;;;
cols;1;512;512;5;2;1,43594;1,43566;;;;
cols;1;512;512;10;2;2,92759;2,92732;;;;
cols;1;512;1024;1;2;0,585228;0,584956;;;;
cols;1;512;1024;2;2;1,17068;1,17041;;;;
cols;1;512;1024;5;2;2,91572;2,91546;;;;
cols;1;512;1024;10;2;5,78411;5,78378;;;;
cols;1;1024;32;1;2;0,0208483;0,0207689;;;;
cols;1;1024;32;2;2;0,0398533;0,0397746;;;;
cols;1;1024;32;5;2;0,0978051;0,0977254;;;;
cols;1;1024;32;10;2;0,193591;0,193513;;;;
cols;1;1024;64;1;2;0,0475057;0,0474012;;;;
cols;1;1024;64;2;2;0,0931752;0,0930611;;;;
cols;1;1024;64;5;2;0,228822;0,228713;;;;
cols;1;1024;64;10;2;0,457365;0,457258;;;;
cols;1;1024;256;1;2;0,224111;0,223831;;;;
cols;1;1024;256;2;2;0,445757;0,445461;;;;
cols;1;1024;256;5;2;1,09709;1,09681;;;;
cols;1;1024;256;10;2;2,19669;2,19641;;;;
cols;1;1024;512;1;2;0,485495;0,485244;;;;
cols;1;1024;512;2;2;0,971078;0,970804;;;;
cols;1;1024;512;5;2;2,45883;2,45855;;;;
cols;1;1024;512;10;2;4,85918;4,85891;;;;
cols;1;1024;1024;1;2;1,17096;1,17046;;;;
cols;1;1024;1024;2;2;2,29801;2,29747;;;;
cols;1;1024;1024;5;2;5,80508;5,80463;;;;
cols;1;1024;1024;10;2;11,5424;11,5419;;;;
cols;2;32;32;1;2;0,0036351;0,003524;0,0035392;;;
cols;2;32;32;2;2;0,0053218;0,0051998;0,0052299;;;
cols;2;32;32;5;2;0,0114678;0,0113801;0,0113776;;;
cols;2;32;32;10;2;0,0219304;0,0218617;0,0218409;;;
cols;2;32;64;1;2;0,0055032;0,0054525;0,0053629;;;
cols;2;32;64;2;2;0,0100501;0,0099997;0,0099036;;;
cols;2;32;64;5;2;0,0240464;0,0239884;0,0239516;;;
cols;2;32;64;10;2;0,047057;0,0470069;0,0469294;;;
cols;2;32;256;1;2;0,0199367;0,0198744;0,0197595;;;
cols;2;32;256;2;2;0,0408639;0,0407181;0,0407589;;;
cols;2;32;256;5;2;0,0955133;0,0954522;0,0953655;;;
cols;2;32;256;10;2;0,187102;0,187044;0,186966;;;
cols;2;32;512;1;2;0,0390326;0,0389009;0,0389033;;;
cols;2;32;512;2;2;0,076445;0,0763684;0,0762764;;;
cols;2;32;512;5;2;0,189571;0,189458;0,189451;;;
cols;2;32;512;10;2;0,378661;0,378586;0,378465;;;
cols;2;32;1024;1;2;0,0770628;0,0769576;0,076838;;;
cols;2;32;1024;2;2;0,15129;0,151146;0,151145;;;
cols;2;32;1024;5;2;0,369292;0,368796;0,369148;;;
cols;2;32;1024;10;2;0,733156;0,732559;0,733013;;;
cols;2;64;32;1;2;0,0045968;0,0045467;0,0044683;;;
cols;2;64;32;2;2;0,0085782;0,0084975;0,0084813;;;
cols;2;64;32;5;2;0,0199361;0,0197623;0,0198309;;;
cols;2;64;32;10;2;0,037093;0,0369498;0,0369988;;;
cols;2;64;64;1;2;0,0095804;0,0094492;0,0094808;;;
cols;2;64;64;2;2;0,0182122;0,018157;0,0180742;;;
cols;2;64;64;5;2;0,0473015;0,0472278;0,0472037;;;
cols;2;64;64;10;2;0,086208;0,0861515;0,0859929;;;
cols;2;64;256;1;2;0,0386419;0,0385531;0,0384021;;;
cols;2;64;256;2;2;0,0763113;0,0761697;0,0761841;;;
cols;2;64;256;5;2;0,184785;0,184708;0,184495;;;
cols;2;64;256;10;2;0,366386;0,366311;0,366246;;;
cols;2;64;512;1;2;0,0766717;0,0765686;0,0764839;;;
cols;2;64;512;2;2;0,154833;0,154732;0,154664;;;
cols;2;64;512;5;2;0,375663;0,375561;0,375462;;;
cols;2;64;512;10;2;0,76704;0,766935;0,766817;;;
cols;2;64;1024;1;2;0,153902;0,153743;0,153649;;;
cols;2;64;1024;2;2;0,306648;0,306458;0,306441;;;
cols;2;64;1024;5;2;0,750331;0,75017;0,75007;;;
cols;2;64;1024;10;2;1,50178;1,50162;1,5015;;;
cols;2;256;32;1;2;0,0134386;0,0133774;0,0133027;;;
cols;2;256;32;2;2;0,0288504;0,0287852;0,0282637;;;
cols;2;256;32;5;2;0,0620816;0,0620215;0,0619519;;;
cols;2;256;32;10;2;0,123797;0,123732;0,12359;;;
cols;2;256;64;1;2;0,0278142;0,0277047;0,0276934;;;
cols;2;256;64;2;2;0,0537158;0,0536428;0,0533114;;;
cols;2;256;64;5;2;0,130697;0,130473;0,130581;;;
cols;2;256;64;10;2;0,266901;0,266735;0,266776;;;
cols;2;256;256;1;2;0,13938;0,139089;0,139176;;;
cols;2;256;256;2;2;0,26809;0,2679;0,267814;;;
cols;2;256;256;5;2;0,671957;0,6718;0,671728;;;
cols;2;256;256;10;2;1,32667;1,32651;1,32638;;;
cols;2;256;512;1;2;0,291776;0,290987;0,291453;;;
cols;2;256;512;2;2;0,592385;0,592022;0,592073;;;
cols;2;256;512;5;2;1,45788;1,45761;1,45748;;;
cols;2;256;512;10;2;2,92493;2,92459;2,92462;;;
cols;2;256;1024;1;2;0,603989;0,603265;0,603405;;;
cols;2;256;1024;2;2;1,16936;1,16872;1,16881;;;
cols;2;256;1024;5;2;2,88056;2,88006;2,87995;;;
cols;2;256;1024;10;2;5,82699;5,82649;5,8262;;;
cols;2;512;32;1;2;0,0244657;0,0243906;0,0242113;;;
cols;2;512;32;2;2;0,0469869;0,0468408;0,0468669;;;
cols;2;512;32;5;2;0,115366;0,115252;0,115247;;;
cols;2;512;32;10;2;0,228995;0,228873;0,228876;;;
cols;2;512;64;1;2;0,0513708;0,0512271;0,0512227;;;
cols;2;512;64;2;2;0,100764;0,10063;0,100617;;;
cols;2;512;64;5;2;0,241617;0,241185;0,241468;;;
cols;2;512;64;10;2;0,482459;0,482357;0,482273;;;
cols;2;512;256;1;2;0,230787;0,230517;0,230413;;;
cols;2;512;256;2;2;0,461287;0,461012;0,460796;;;
cols;2;512;256;5;2;1,16977;1,1694;1,16944;;;
cols;2;512;256;10;2;2,34208;2,34174;2,34176;;;
cols;2;512;512;1;2;0,537273;0,536516;0,536644;;;
cols;2;512;512;2;2;1,08801;1,0875;1,08728;;;
cols;2;512;512;5;2;2,68626;2,68575;2,68568;;;
cols;2;512;512;10;2;5,32703;5,32652;5,32628;;;
cols;2;512;1024;1;2;1,15204;1,1515;1,15148;;;
cols;2;512;1024;2;2;2,37084;2,37035;2,37006;;;
cols;2;512;1024;5;2;5,78631;5,78583;5,78565;;;
cols;2;512;1024;10;2;11,6931;11,6926;11,6921;;;
cols;2;1024;32;1;2;0,0408055;0,0406208;0,0406632;;;
cols;2;1024;32;2;2;0,0789173;0,0787446;0,0787741;;;
cols;2;1024;32;5;2;0,194434;0,194332;0,194232;;;
cols;2;1024;32;10;2;0,385985;0,385883;0,385783;;;
cols;2;1024;64;1;2;0,0938794;0,093587;0,093675;;;
cols;2;1024;64;2;2;0,185011;0,184719;0,184811;;;
cols;2;1024;64;5;2;0,448374;0,448207;0,448104;;;
cols;2;1024;64;10;2;0,91145;0,911181;0,911238;;;
cols;2;1024;256;1;2;0,424176;0,423634;0,423639;;;
cols;2;1024;256;2;2;0,84083;0,840145;0,840279;;;
cols;2;1024;256;5;2;2,07791;2,0774;2,07727;;;
cols;2;1024;256;10;2;4,24111;4,2406;4,24047;;;
