threadsX;threadsY;width;height;ns;timer_seconds
1;1;64;256;1;0.235
1;4;64;256;1;0.097
1;8;64;256;1;0.063
1;16;64;256;1;0.045
1;32;64;256;1;0.035
4;1;64;256;1;0.111
4;4;64;256;1;0.049
4;8;64;256;1;0.036
4;16;64;256;1;0.028
4;32;64;256;1;0.029
8;1;64;256;1;0.071
8;4;64;256;1;0.043
8;8;64;256;1;0.033
8;16;64;256;1;0.032
8;32;64;256;1;0.033
16;1;64;256;1;0.062
16;4;64;256;1;0.034
16;8;64;256;1;0.035
16;16;64;256;1;0.034
16;32;64;256;1;0.035
32;1;64;256;1;0.045
32;4;64;256;1;0.034
32;8;64;256;1;0.034
32;16;64;256;1;0.035
32;32;64;256;1;0.035
1;1;64;256;2;0.326
1;4;64;256;2;0.109
1;8;64;256;2;0.07
1;16;64;256;2;0.049
1;32;64;256;2;0.038
4;1;64;256;2;0.123
4;4;64;256;2;0.055
4;8;64;256;2;0.041
4;16;64;256;2;0.032
4;32;64;256;2;0.032
8;1;64;256;2;0.079
8;4;64;256;2;0.04
8;8;64;256;2;0.037
8;16;64;256;2;0.038
8;32;64;256;2;0.037
16;1;64;256;2;0.068
16;4;64;256;2;0.039
16;8;64;256;2;0.038
16;16;64;256;2;0.038
16;32;64;256;2;0.039
32;1;64;256;2;0.049
32;4;64;256;2;0.038
32;8;64;256;2;0.039
32;16;64;256;2;0.038
32;32;64;256;2;0.039
1;1;64;256;5;0.421
1;4;64;256;5;0.142
1;8;64;256;5;0.093
1;16;64;256;5;0.065
1;32;64;256;5;0.051
4;1;64;256;5;0.155
4;4;64;256;5;0.072
4;8;64;256;5;0.056
4;16;64;256;5;0.045
4;32;64;256;5;0.044
8;1;64;256;5;0.098
8;4;64;256;5;0.056
8;8;64;256;5;0.045
8;16;64;256;5;0.045
8;32;64;256;5;0.045
16;1;64;256;5;0.07
16;4;64;256;5;0.053
16;8;64;256;5;0.052
16;16;64;256;5;0.052
16;32;64;256;5;0.054
32;1;64;256;5;0.062
32;4;64;256;5;0.05
32;8;64;256;5;0.053
32;16;64;256;5;0.051
32;32;64;256;5;0.054
1;1;64;256;10;0.555
1;4;64;256;10;0.193
1;8;64;256;10;0.123
1;16;64;256;10;0.086
1;32;64;256;10;0.072
4;1;64;256;10;0.209
4;4;64;256;10;0.094
4;8;64;256;10;0.072
4;16;64;256;10;0.06
4;32;64;256;10;0.061
8;1;64;256;10;0.133
8;4;64;256;10;0.072
8;8;64;256;10;0.059
8;16;64;256;10;0.06
8;32;64;256;10;0.059
16;1;64;256;10;0.094
16;4;64;256;10;0.064
16;8;64;256;10;0.065
16;16;64;256;10;0.064
16;32;64;256;10;0.066
32;1;64;256;10;0.07
32;4;64;256;10;0.074
32;8;64;256;10;0.074
32;16;64;256;10;0.076
32;32;64;256;10;0.078
1;1;64;512;1;0.513
1;4;64;512;1;0.186
1;8;64;512;1;0.113
1;16;64;512;1;0.076
1;32;64;512;1;0.053
4;1;64;512;1;0.217
4;4;64;512;1;0.085
4;8;64;512;1;0.058
4;16;64;512;1;0.046
4;32;64;512;1;0.045
8;1;64;512;1;0.131
8;4;64;512;1;0.059
8;8;64;512;1;0.044
8;16;64;512;1;0.044
8;32;64;512;1;0.045
16;1;64;512;1;0.085
16;4;64;512;1;0.045
16;8;64;512;1;0.05
16;16;64;512;1;0.054
16;32;64;512;1;0.055
32;1;64;512;1;0.071
32;4;64;512;1;0.053
32;8;64;512;1;0.054
32;16;64;512;1;0.054
32;32;64;512;1;0.055
1;1;64;512;2;0.586
1;4;64;512;2;0.208
1;8;64;512;2;0.126
1;16;64;512;2;0.083
1;32;64;512;2;0.058
4;1;64;512;2;0.237
4;4;64;512;2;0.092
4;8;64;512;2;0.064
4;16;64;512;2;0.051
4;32;64;512;2;0.05
8;1;64;512;2;0.143
8;4;64;512;2;0.064
8;8;64;512;2;0.051
8;16;64;512;2;0.049
8;32;64;512;2;0.05
16;1;64;512;2;0.095
16;4;64;512;2;0.061
16;8;64;512;2;0.069
16;16;64;512;2;0.062
16;32;64;512;2;0.063
32;1;64;512;2;0.084
32;4;64;512;2;0.06
32;8;64;512;2;0.062
32;16;64;512;2;0.066
32;32;64;512;2;0.064
1;1;64;512;5;0.777
1;4;64;512;5;0.27
1;8;64;512;5;0.168
1;16;64;512;5;0.112
1;32;64;512;5;0.076
4;1;64;512;5;0.299
4;4;64;512;5;0.122
4;8;64;512;5;0.09
4;16;64;512;5;0.075
4;32;64;512;5;0.072
8;1;64;512;5;0.224
8;4;64;512;5;0.088
8;8;64;512;5;0.073
8;16;64;512;5;0.075
8;32;64;512;5;0.076
16;1;64;512;5;0.154
16;4;64;512;5;0.079
16;8;64;512;5;0.074
16;16;64;512;5;0.074
16;32;64;512;5;0.077
32;1;64;512;5;0.102
32;4;64;512;5;0.081
32;8;64;512;5;0.085
32;16;64;512;5;0.085
32;32;64;512;5;0.087
1;1;64;512;10;1.111
1;4;64;512;10;0.405
1;8;64;512;10;0.229
1;16;64;512;10;0.151
1;32;64;512;10;0.105
4;1;64;512;10;0.406
4;4;64;512;10;0.166
4;8;64;512;10;0.121
4;16;64;512;10;0.103
4;32;64;512;10;0.101
8;1;64;512;10;0.249
8;4;64;512;10;0.121
8;8;64;512;10;0.103
8;16;64;512;10;0.098
8;32;64;512;10;0.105
16;1;64;512;10;0.164
16;4;64;512;10;0.094
16;8;64;512;10;0.093
16;16;64;512;10;0.093
16;32;64;512;10;0.096
32;1;64;512;10;0.113
32;4;64;512;10;0.092
32;8;64;512;10;0.094
32;16;64;512;10;0.097
32;32;64;512;10;0.098
1;1;64;1024;1;1.016
1;4;64;1024;1;0.39
1;8;64;1024;1;0.227
1;16;64;1024;1;0.141
1;32;64;1024;1;0.092
4;1;64;1024;1;0.447
4;4;64;1024;1;0.157
4;8;64;1024;1;0.1
4;16;64;1024;1;0.074
4;32;64;1024;1;0.072
8;1;64;1024;1;0.26
8;4;64;1024;1;0.101
8;8;64;1024;1;0.072
8;16;64;1024;1;0.07
8;32;64;1024;1;0.075
16;1;64;1024;1;0.182
16;4;64;1024;1;0.074
16;8;64;1024;1;0.071
16;16;64;1024;1;0.073
16;32;64;1024;1;0.078
32;1;64;1024;1;0.103
32;4;64;1024;1;0.075
32;8;64;1024;1;0.086
32;16;64;1024;1;0.096
32;32;64;1024;1;0.097
1;1;64;1024;2;1.197
1;4;64;1024;2;0.433
1;8;64;1024;2;0.254
1;16;64;1024;2;0.157
1;32;64;1024;2;0.103
4;1;64;1024;2;0.493
4;4;64;1024;2;0.172
4;8;64;1024;2;0.111
4;16;64;1024;2;0.083
4;32;64;1024;2;0.085
8;1;64;1024;2;0.291
8;4;64;1024;2;0.117
8;8;64;1024;2;0.088
8;16;64;1024;2;0.086
8;32;64;1024;2;0.089
16;1;64;1024;2;0.189
16;4;64;1024;2;0.081
16;8;64;1024;2;0.077
16;16;64;1024;2;0.081
16;32;64;1024;2;0.084
32;1;64;1024;2;0.112
32;4;64;1024;2;0.08
32;8;64;1024;2;0.088
32;16;64;1024;2;0.086
32;32;64;1024;2;0.086
1;1;64;1024;5;1.573
1;4;64;1024;5;0.555
1;8;64;1024;5;0.327
1;16;64;1024;5;0.208
1;32;64;1024;5;0.144
4;1;64;1024;5;0.613
4;4;64;1024;5;0.22
4;8;64;1024;5;0.142
4;16;64;1024;5;0.107
4;32;64;1024;5;0.104
8;1;64;1024;5;0.362
8;4;64;1024;5;0.144
8;8;64;1024;5;0.106
8;16;64;1024;5;0.105
8;32;64;1024;5;0.107
16;1;64;1024;5;0.224
16;4;64;1024;5;0.111
16;8;64;1024;5;0.106
16;16;64;1024;5;0.112
16;32;64;1024;5;0.114
32;1;64;1024;5;0.147
32;4;64;1024;5;0.106
32;8;64;1024;5;0.111
32;16;64;1024;5;0.112
32;32;64;1024;5;0.114
1;1;64;1024;10;2.191
1;4;64;1024;10;0.765
1;8;64;1024;10;0.452
1;16;64;1024;10;0.284
1;32;64;1024;10;0.19
