strategy;nFotogramas;width;height;ns;nProcs;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;5;32;1024;5;1;0,363266;0,363266;;;;
cols;5;32;1024;10;1;0,725731;0,725731;;;;
cols;5;64;32;1;1;0,0039269;0,0039269;;;;
cols;5;64;32;2;1;0,0074634;0,0074634;;;;
cols;5;64;32;5;1;0,0183906;0,0183906;;;;
cols;5;64;32;10;1;0,0356159;0,0356159;;;;
cols;5;64;64;1;1;0,008859;0,008859;;;;
cols;5;64;64;2;1;0,016889;0,016889;;;;
cols;5;64;64;5;1;0,0413543;0,0413543;;;;
cols;5;64;64;10;1;0,0822925;0,0822925;;;;
cols;5;64;256;1;1;0,0366271;0,0366271;;;;
cols;5;64;256;2;1;0,0723639;0,0723639;;;;
cols;5;64;256;5;1;0,179021;0,179021;;;;
cols;5;64;256;10;1;0,357955;0,357955;;;;
cols;5;64;512;1;1;0,0735666;0,0735666;;;;
cols;5;64;512;2;1;0,146312;0,146312;;;;
cols;5;64;512;5;1;0,364115;0,364115;;;;
cols;5;64;512;10;1;0,724941;0,724941;;;;
cols;5;64;1024;1;1;0,147956;0,147956;;;;
cols;5;64;1024;2;1;0,294806;0,294806;;;;
cols;5;64;1024;5;1;0,733461;0,733461;;;;
cols;5;64;1024;10;1;1,45873;1,45873;;;;
cols;5;256;32;1;1;0,0125262;0,0125262;;;;
cols;5;256;32;2;1;0,0245267;0,0245267;;;;
cols;5;256;32;5;1;0,0600093;0,0600093;;;;
cols;5;256;32;10;1;0,119669;0,119669;;;;
cols;5;256;64;1;1;0,0264579;0,0264579;;;;
cols;5;256;64;2;1;0,0522816;0,0522816;;;;
cols;5;256;64;5;1;0,128146;0,128146;;;;
cols;5;256;64;10;1;0,256263;0,256263;;;;
cols;5;256;256;1;1;0,134279;0,134279;;;;
cols;5;256;256;2;1;0,264317;0,264317;;;;
cols;5;256;256;5;1;0,65555;0,65555;;;;
cols;5;256;256;10;1;1,33083;1,33083;;;;
cols;5;256;512;1;1;0,299419;0,299419;;;;
cols;5;256;512;2;1;0,577643;0,577643;;;;
cols;5;256;512;5;1;1,45977;1,45977;;;;
cols;5;256;512;10;1;2,83754;2,83754;;;;
cols;5;256;1024;1;1;0,583732;0,583732;;;;
cols;5;256;1024;2;1;1,1509;1,1509;;;;
cols;5;256;1024;5;1;2,85562;2,85562;;;;
cols;5;256;1024;10;1;5,7581;5,7581;;;;
cols;5;512;32;1;1;0,022766;0,022766;;;;
cols;5;512;32;2;1;0,0445883;0,0445883;;;;
cols;5;512;32;5;1;0,110062;0,110062;;;;
cols;5;512;32;10;1;0,219824;0,219824;;;;
cols;5;512;64;1;1;0,0490681;0,0490681;;;;
cols;5;512;64;2;1;0,0963939;0,0963939;;;;
cols;5;512;64;5;1;0,243646;0,243646;;;;
cols;5;512;64;10;1;0,476602;0,476602;;;;
cols;5;512;256;1;1;0,228505;0,228505;;;;
cols;5;512;256;2;1;0,454374;0,454374;;;;
cols;5;512;256;5;1;1,13293;1,13293;;;;
cols;5;512;256;10;1;2,26545;2,26545;;;;
cols;5;512;512;1;1;0,53037;0,53037;;;;
cols;5;512;512;2;1;1,05115;1,05115;;;;
cols;5;512;512;5;1;2,61624;2,61624;;;;
cols;5;512;512;10;1;5,24408;5,24408;;;;
cols;5;512;1024;1;1;1,15789;1,15789;;;;
cols;5;512;1024;2;1;2,27994;2,27994;;;;
cols;5;512;1024;5;1;5,67996;5,67996;;;;
cols;5;512;1024;10;1;11,3305;11,3305;;;;
cols;5;1024;32;1;1;0,0386453;0,0386453;;;;
cols;5;1024;32;2;1;0,0755461;0,0755461;;;;
cols;5;1024;32;5;1;0,185827;0,185827;;;;
cols;5;1024;32;10;1;0,371624;0,371624;;;;
cols;5;1024;64;1;1;0,0896329;0,0896329;;;;
cols;5;1024;64;2;1;0,178095;0,178095;;;;
cols;5;1024;64;5;1;0,438225;0,438225;;;;
cols;5;1024;64;10;1;0,877304;0,877304;;;;
cols;5;1024;256;1;1;0,414654;0,414654;;;;
cols;5;1024;256;2;1;0,827268;0,827268;;;;
cols;5;1024;256;5;1;2,05899;2,05899;;;;
cols;5;1024;256;10;1;4,09428;4,09428;;;;
cols;5;1024;512;1;1;0,913014;0,913014;;;;
cols;5;1024;512;2;1;1,82587;1,82587;;;;
cols;5;1024;512;5;1;4,53695;4,53695;;;;
cols;5;1024;512;10;1;9,03044;9,03044;;;;
cols;5;1024;1024;1;1;2,11873;2,11873;;;;
cols;5;1024;1024;2;1;4,21625;4,21625;;;;
cols;5;1024;1024;5;1;10,484;10,484;;;;
cols;5;1024;1024;10;1;20,885;20,885;;;;
cols;1;32;32;1;2;0,0015779;0,0015779;;;;
cols;1;32;32;2;2;0,0026583;0,0026583;;;;
