strategy;subStrategy;nFotogramas;width;height;ns;nProcs;threadsPorProceso;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;cols;3;32;32;3;1;8;0,000831;0,000831;;;;
cols;cols;3;32;32;10;1;8;0,0013614;0,0013614;;;;
cols;cols;3;32;256;1;1;8;0,0009819;0,0009819;;;;
cols;cols;3;32;256;3;1;8;0,0020918;0,0020918;;;;
cols;cols;3;32;256;10;1;8;0,0062954;0,0062954;;;;
cols;cols;3;32;512;1;1;8;0,0014456;0,0014456;;;;
cols;cols;3;32;512;3;1;8;0,0042769;0,0042769;;;;
cols;cols;3;32;512;10;1;8;0,007729;0,007729;;;;
cols;cols;3;32;1024;1;1;8;0,0027981;0,0027981;;;;
cols;cols;3;32;1024;3;1;8;0,0071733;0,0071733;;;;
cols;cols;3;32;1024;10;1;8;0,0162903;0,0162903;;;;
cols;cols;3;256;32;1;1;8;0,000991;0,000991;;;;
cols;cols;3;256;32;3;1;8;0,0013916;0,0013916;;;;
cols;cols;3;256;32;10;1;8;0,0032927;0,0032927;;;;
cols;cols;3;256;256;1;1;8;0,0046962;0,0046962;;;;
cols;cols;3;256;256;3;1;8;0,0097182;0,0097182;;;;
cols;cols;3;256;256;10;1;8;0,0485394;0,0485394;;;;
cols;cols;3;256;512;1;1;8;0,0072619;0,0072619;;;;
cols;cols;3;256;512;3;1;8;0,0273485;0,0273485;;;;
cols;cols;3;256;512;10;1;8;0,0632859;0,0632859;;;;
cols;cols;3;256;1024;1;1;8;0,0181159;0,0181159;;;;
cols;cols;3;256;1024;3;1;8;0,039168;0,039168;;;;
cols;cols;3;256;1024;10;1;8;0,129434;0,129434;;;;
cols;cols;3;512;32;1;1;8;0,0014127;0,0014127;;;;
cols;cols;3;512;32;3;1;8;0,0021018;0,0021018;;;;
cols;cols;3;512;32;10;1;8;0,0055052;0,0055052;;;;
cols;cols;3;512;256;1;1;8;0,0064277;0,0064277;;;;
cols;cols;3;512;256;3;1;8;0,0251567;0,0251567;;;;
cols;cols;3;512;256;10;1;8;0,0597419;0,0597419;;;;
cols;cols;3;512;512;1;1;8;0,0134695;0,0134695;;;;
cols;cols;3;512;512;3;1;8;0,0434734;0,0434734;;;;
cols;cols;3;512;512;10;1;8;0,127753;0,127753;;;;
cols;cols;3;512;1024;1;1;8;0,0412013;0,0412013;;;;
cols;cols;3;512;1024;3;1;8;0,0753944;0,0753944;;;;
cols;cols;3;512;1024;10;1;8;0,255058;0,255058;;;;
cols;cols;3;1024;32;1;1;8;0,0022909;0,0022909;;;;
cols;cols;3;1024;32;3;1;8;0,0034459;0,0034459;;;;
cols;cols;3;1024;32;10;1;8;0,0101539;0,0101539;;;;
cols;cols;3;1024;256;1;1;8;0,0124227;0,0124227;;;;
cols;cols;3;1024;256;3;1;8;0,0472365;0,0472365;;;;
cols;cols;3;1024;256;10;1;8;0,113749;0,113749;;;;
cols;cols;3;1024;512;1;1;8;0,0356537;0,0356537;;;;
cols;cols;3;1024;512;3;1;8;0,0692486;0,0692486;;;;
cols;cols;3;1024;512;10;1;8;0,243448;0,243448;;;;
cols;cols;3;1024;1024;1;1;8;0,063328;0,063328;;;;
cols;cols;3;1024;1024;3;1;8;0,166209;0,166209;;;;
cols;cols;3;1024;1024;10;1;8;0,538111;0,538111;;;;
cols;cols;1;32;32;1;1;12;0,0008701;0,0008701;;;;
cols;cols;1;32;32;3;1;12;0,000885;0,000885;;;;
cols;cols;1;32;32;10;1;12;0,0013575;0,0013575;;;;
cols;cols;1;32;256;1;1;12;0,0011795;0,0011795;;;;
cols;cols;1;32;256;3;1;12;0,0021207;0,0021207;;;;
cols;cols;1;32;256;10;1;12;0,0053936;0,0053936;;;;
cols;cols;1;32;512;1;1;12;0,0016512;0,0016512;;;;
cols;cols;1;32;512;3;1;12;0,0032457;0,0032457;;;;
cols;cols;1;32;512;10;1;12;0,0096007;0,0096007;;;;
cols;cols;1;32;1024;1;1;12;0,0027085;0,0027085;;;;
cols;cols;1;32;1024;3;1;12;0,0057397;0,0057397;;;;
cols;cols;1;32;1024;10;1;12;0,0174028;0,0174028;;;;
cols;cols;1;256;32;1;1;12;0,0012969;0,0012969;;;;
cols;cols;1;256;32;3;1;12;0,0017258;0,0017258;;;;
cols;cols;1;256;32;10;1;12;0,0043108;0,0043108;;;;
cols;cols;1;256;256;1;1;12;0,0042146;0,0042146;;;;
cols;cols;1;256;256;3;1;12;0,011056;0,011056;;;;
cols;cols;1;256;256;10;1;12;0,0338413;0,0338413;;;;
cols;cols;1;256;512;1;1;12;0,0075009;0,0075009;;;;
cols;cols;1;256;512;3;1;12;0,0201314;0,0201314;;;;
cols;cols;1;256;512;10;1;12;0,0643085;0,0643085;;;;
cols;cols;1;256;1024;1;1;12;0,0138607;0,0138607;;;;
cols;cols;1;256;1024;3;1;12;0,0372274;0,0372274;;;;
cols;cols;1;256;1024;10;1;12;0,123339;0,123339;;;;
cols;cols;1;512;32;1;1;12;0,0015431;0,0015431;;;;
cols;cols;1;512;32;3;1;12;0,0024695;0,0024695;;;;
cols;cols;1;512;32;10;1;12;0,0068124;0,0068124;;;;
cols;cols;1;512;256;1;1;12;0,007967;0,007967;;;;
cols;cols;1;512;256;3;1;12;0,0214897;0,0214897;;;;
cols;cols;1;512;256;10;1;12;0,0685023;0,0685023;;;;
cols;cols;1;512;512;1;1;12;0,0145043;0,0145043;;;;
cols;cols;1;512;512;3;1;12;0,0395237;0,0395237;;;;
cols;cols;1;512;512;10;1;12;0,120912;0,120912;;;;
cols;cols;1;512;1024;1;1;12;0,0253466;0,0253466;;;;
cols;cols;1;512;1024;3;1;12;0,0827533;0,0827533;;;;
cols;cols;1;512;1024;10;1;12;0,234394;0,234394;;;;
cols;cols;1;1024;32;1;1;12;0,0018813;0,0018813;;;;
cols;cols;1;1024;32;3;1;12;0,0042096;0,0042096;;;;
cols;cols;1;1024;32;10;1;12;0,0107029;0,0107029;;;;
cols;cols;1;1024;256;1;1;12;0,0098385;0,0098385;;;;
cols;cols;1;1024;256;3;1;12;0,0346035;0,0346035;;;;
cols;cols;1;1024;256;10;1;12;0,102116;0,102116;;;;
cols;cols;1;1024;512;1;1;12;0,0237876;0,0237876;;;;
cols;cols;1;1024;512;3;1;12;0,0823267;0,0823267;;;;
cols;cols;1;1024;512;10;1;12;0,212059;0,212059;;;;
cols;cols;1;1024;1024;1;1;12;0,0568818;0,0568818;;;;
cols;cols;1;1024;1024;3;1;12;0,148813;0,148813;;;;
cols;cols;1;1024;1024;10;1;12;0,466839;0,466839;;;;
cols;cols;2;32;32;1;1;12;0,0008643;0,0008643;;;;
cols;cols;2;32;32;3;1;12;0,0009302;0,0009302;;;;
cols;cols;2;32;32;10;1;12;0,0012289;0,0012289;;;;
cols;cols;2;32;256;1;1;12;0,0012383;0,0012383;;;;
cols;cols;2;32;256;3;1;12;0,0024415;0,0024415;;;;
cols;cols;2;32;256;10;1;12;0,00557;0,00557;;;;
cols;cols;2;32;512;1;1;12;0,0017686;0,0017686;;;;
cols;cols;2;32;512;3;1;12;0,0033022;0,0033022;;;;
cols;cols;2;32;512;10;1;12;0,0093094;0,0093094;;;;
cols;cols;2;32;1024;1;1;12;0,002487;0,002487;;;;
cols;cols;2;32;1024;3;1;12;0,0057296;0,0057296;;;;
cols;cols;2;32;1024;10;1;12;0,0171627;0,0171627;;;;
cols;cols;2;256;32;1;1;12;0,0011603;0,0011603;;;;
cols;cols;2;256;32;3;1;12;0,0018785;0,0018785;;;;
cols;cols;2;256;32;10;1;12;0,0041567;0,0041567;;;;
cols;cols;2;256;256;1;1;12;0,0044491;0,0044491;;;;
cols;cols;2;256;256;3;1;12;0,0107669;0,0107669;;;;
cols;cols;2;256;256;10;1;12;0,0346768;0,0346768;;;;
cols;cols;2;256;512;1;1;12;0,0073228;0,0073228;;;;
cols;cols;2;256;512;3;1;12;0,0181817;0,0181817;;;;
cols;cols;2;256;512;10;1;12;0,0684129;0,0684129;;;;
cols;cols;2;256;1024;1;1;12;0,0134182;0,0134182;;;;
cols;cols;2;256;1024;3;1;12;0,0374871;0,0374871;;;;
cols;cols;2;256;1024;10;1;12;0,122156;0,122156;;;;
cols;cols;2;512;32;1;1;12;0,00141;0,00141;;;;
cols;cols;2;512;32;3;1;12;0,0025852;0,0025852;;;;
cols;cols;2;512;32;10;1;12;0,0065385;0,0065385;;;;
cols;cols;2;512;256;1;1;12;0,0069103;0,0069103;;;;
cols;cols;2;512;256;3;1;12;0,0190012;0,0190012;;;;
cols;cols;2;512;256;10;1;12;0,0620163;0,0620163;;;;
cols;cols;2;512;512;1;1;12;0,014816;0,014816;;;;
cols;cols;2;512;512;3;1;12;0,0410728;0,0410728;;;;
cols;cols;2;512;512;10;1;12;0,11567;0,11567;;;;
cols;cols;2;512;1024;1;1;12;0,0270847;0,0270847;;;;
cols;cols;2;512;1024;3;1;12;0,0784516;0,0784516;;;;
cols;cols;2;512;1024;10;1;12;0,273801;0,273801;;;;
cols;cols;2;1024;32;1;1;12;0,0019469;0,0019469;;;;
cols;cols;2;1024;32;3;1;12;0,0037928;0,0037928;;;;
cols;cols;2;1024;32;10;1;12;0,0105264;0,0105264;;;;
cols;cols;2;1024;256;1;1;12;0,0129432;0,0129432;;;;
cols;cols;2;1024;256;3;1;12;0,0348599;0,0348599;;;;
cols;cols;2;1024;256;10;1;12;0,128706;0,128706;;;;
cols;cols;2;1024;512;1;1;12;0,0275725;0,0275725;;;;
cols;cols;2;1024;512;3;1;12;0,0813355;0,0813355;;;;
cols;cols;2;1024;512;10;1;12;0,251028;0,251028;;;;
cols;cols;2;1024;1024;1;1;12;0,0553471;0,0553471;;;;
cols;cols;2;1024;1024;3;1;12;0,169941;0,169941;;;;
cols;cols;2;1024;1024;10;1;12;0,503688;0,503688;;;;
cols;cols;3;32;32;1;1;12;0,0008399;0,0008399;;;;
cols;cols;3;32;32;3;1;12;0,0009494;0,0009494;;;;
cols;cols;3;32;32;10;1;12;0,0012991;0,0012991;;;;
cols;cols;3;32;256;1;1;12;0,0012351;0,0012351;;;;
cols;cols;3;32;256;3;1;12;0,0021354;0,0021354;;;;
cols;cols;3;32;256;10;1;12;0,0051952;0,0051952;;;;
cols;cols;3;32;512;1;1;12;0,0016616;0,0016616;;;;
cols;cols;3;32;512;3;1;12;0,0031508;0,0031508;;;;
cols;cols;3;32;512;10;1;12;0,0093945;0,0093945;;;;
cols;cols;3;32;1024;1;1;12;0,0027352;0,0027352;;;;
cols;cols;3;32;1024;3;1;12;0,0056064;0,0056064;;;;
cols;cols;3;32;1024;10;1;12;0,0185809;0,0185809;;;;
cols;cols;3;256;32;1;1;12;0,0011195;0,0011195;;;;
cols;cols;3;256;32;3;1;12;0,0020757;0,0020757;;;;
cols;cols;3;256;32;10;1;12;0,0043651;0,0043651;;;;
cols;cols;3;256;256;1;1;12;0,0038055;0,0038055;;;;
cols;cols;3;256;256;3;1;12;0,010979;0,010979;;;;
cols;cols;3;256;256;10;1;12;0,035116;0,035116;;;;
